label,output_dir,sched_name,flags,arrival_rate,config,name,slo,avg_scheduler_runtime,avg,eff
arrival_rate::0.0145:0.026,alibaba_scheduler_runtime-dsched/DSched,DSched,"['--worker_profile_path=profiles/workers/alibaba_cluster_final.yaml', '--workload_profile_paths=traces/alibaba-cluster-trace-v2018/easy_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/medium_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/hard_dag_sukrit_10k.pkl', '--workload_profile_path_labels=easy,medium,hard', '--execution_mode=replay', '--replay_trace=alibaba', '--alibaba_loader_task_cpu_usage_random', '--alibaba_loader_task_cpu_multiplier=1', '--alibaba_loader_task_cpu_usage_min=120', '--alibaba_loader_task_cpu_usage_max=1500', '--alibaba_loader_min_critical_path_runtimes=200,500,600', '--alibaba_loader_max_critical_path_runtimes=500,1000,1000', '--override_release_policies=poisson,poisson,poisson', '--randomize_start_time_max=50', '--min_deadline=5', '--max_deadline=500', '--min_deadline_variances=25,50,10', '--max_deadline_variances=50,100,25', '--enforce_deadlines', '--random_seed=420665456', '--scheduler=TetriSched', '--enforce_deadlines', '--release_taskgraphs', '--opt_passes=CRITICAL_PATH_PASS', '--opt_passes=CAPACITY_CONSTRAINT_PURGE_PASS', '--opt_passes=DYNAMIC_DISCRETIZATION_PASS', '--retract_schedules', '--scheduler_max_occupancy_threshold=0.999', '--finer_discretization_at_prev_solution', '--scheduler_selective_rescheduling', '--scheduler_reconsideration_period=0.9', '--scheduler_time_discretization=1', '--scheduler_max_time_discretization=5', '--finer_discretization_window=5', '--scheduler_plan_ahead_no_consideration_gap=2', '--drop_skipped_tasks', '--override_num_invocations=0,350,650', '--override_poisson_arrival_rates=0,0.0145,0.026', '--log_dir=/coc/scratch/epinto6/erdos-scheduling-simulator/alibaba_scheduler_runtime-dsched/DSched/arrival_rate::0.0145:0.026', '--log=arrival_rate::0.0145:0.026.log', '--log_level=debug', '--csv=arrival_rate::0.0145:0.026.csv']",0.0405,,,,,,
arrival_rate::0.0145:0.026,alibaba_scheduler_runtime-dsched/DSched-noopt,DSched-noopt,"['--worker_profile_path=profiles/workers/alibaba_cluster_final.yaml', '--workload_profile_paths=traces/alibaba-cluster-trace-v2018/easy_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/medium_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/hard_dag_sukrit_10k.pkl', '--workload_profile_path_labels=easy,medium,hard', '--execution_mode=replay', '--replay_trace=alibaba', '--alibaba_loader_task_cpu_usage_random', '--alibaba_loader_task_cpu_multiplier=1', '--alibaba_loader_task_cpu_usage_min=120', '--alibaba_loader_task_cpu_usage_max=1500', '--alibaba_loader_min_critical_path_runtimes=200,500,600', '--alibaba_loader_max_critical_path_runtimes=500,1000,1000', '--override_release_policies=poisson,poisson,poisson', '--randomize_start_time_max=50', '--min_deadline=5', '--max_deadline=500', '--min_deadline_variances=25,50,10', '--max_deadline_variances=50,100,25', '--enforce_deadlines', '--random_seed=420665456', '--scheduler=TetriSched', '--enforce_deadlines', '--release_taskgraphs', '--retract_schedules', '--scheduler_max_occupancy_threshold=0.999', '--finer_discretization_at_prev_solution', '--scheduler_selective_rescheduling', '--scheduler_reconsideration_period=0.9', '--scheduler_time_discretization=1', '--scheduler_max_time_discretization=5', '--finer_discretization_window=5', '--scheduler_plan_ahead_no_consideration_gap=2', '--drop_skipped_tasks', '--override_num_invocations=0,350,650', '--override_poisson_arrival_rates=0,0.0145,0.026', '--log_dir=/coc/scratch/epinto6/erdos-scheduling-simulator/alibaba_scheduler_runtime-dsched/DSched-noopt/arrival_rate::0.0145:0.026', '--log=arrival_rate::0.0145:0.026.log', '--log_level=debug', '--csv=arrival_rate::0.0145:0.026.csv']",0.0405,,,,,,
arrival_rate::0.01:0.0165,alibaba_scheduler_runtime-dsched/DSched,DSched,"['--worker_profile_path=profiles/workers/alibaba_cluster_final.yaml', '--workload_profile_paths=traces/alibaba-cluster-trace-v2018/easy_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/medium_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/hard_dag_sukrit_10k.pkl', '--workload_profile_path_labels=easy,medium,hard', '--execution_mode=replay', '--replay_trace=alibaba', '--alibaba_loader_task_cpu_usage_random', '--alibaba_loader_task_cpu_multiplier=1', '--alibaba_loader_task_cpu_usage_min=120', '--alibaba_loader_task_cpu_usage_max=1500', '--alibaba_loader_min_critical_path_runtimes=200,500,600', '--alibaba_loader_max_critical_path_runtimes=500,1000,1000', '--override_release_policies=poisson,poisson,poisson', '--randomize_start_time_max=50', '--min_deadline=5', '--max_deadline=500', '--min_deadline_variances=25,50,10', '--max_deadline_variances=50,100,25', '--enforce_deadlines', '--random_seed=420665456', '--scheduler=TetriSched', '--enforce_deadlines', '--release_taskgraphs', '--opt_passes=CRITICAL_PATH_PASS', '--opt_passes=CAPACITY_CONSTRAINT_PURGE_PASS', '--opt_passes=DYNAMIC_DISCRETIZATION_PASS', '--retract_schedules', '--scheduler_max_occupancy_threshold=0.999', '--finer_discretization_at_prev_solution', '--scheduler_selective_rescheduling', '--scheduler_reconsideration_period=0.9', '--scheduler_time_discretization=1', '--scheduler_max_time_discretization=5', '--finer_discretization_window=5', '--scheduler_plan_ahead_no_consideration_gap=2', '--drop_skipped_tasks', '--override_num_invocations=0,350,650', '--override_poisson_arrival_rates=0,0.01,0.0165', '--log_dir=/coc/scratch/epinto6/erdos-scheduling-simulator/alibaba_scheduler_runtime-dsched/DSched/arrival_rate::0.01:0.0165', '--log=arrival_rate::0.01:0.0165.log', '--log_level=debug', '--csv=arrival_rate::0.01:0.0165.csv']",0.026500000000000003,,,,,,
,,,,0.026500000000000003,"{'label': 'arrival_rate::0.01:0.0165', 'output_dir': PosixPath('alibaba_scheduler_runtime-dsched/DSched-noopt'), 'sched_name': 'DSched-noopt', 'flags': ['--worker_profile_path=profiles/workers/alibaba_cluster_final.yaml', '--workload_profile_paths=traces/alibaba-cluster-trace-v2018/easy_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/medium_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/hard_dag_sukrit_10k.pkl', '--workload_profile_path_labels=easy,medium,hard', '--execution_mode=replay', '--replay_trace=alibaba', '--alibaba_loader_task_cpu_usage_random', '--alibaba_loader_task_cpu_multiplier=1', '--alibaba_loader_task_cpu_usage_min=120', '--alibaba_loader_task_cpu_usage_max=1500', '--alibaba_loader_min_critical_path_runtimes=200,500,600', '--alibaba_loader_max_critical_path_runtimes=500,1000,1000', '--override_release_policies=poisson,poisson,poisson', '--randomize_start_time_max=50', '--min_deadline=5', '--max_deadline=500', '--min_deadline_variances=25,50,10', '--max_deadline_variances=50,100,25', '--enforce_deadlines', '--random_seed=420665456', '--scheduler=TetriSched', '--enforce_deadlines', '--release_taskgraphs', '--retract_schedules', '--scheduler_max_occupancy_threshold=0.999', '--finer_discretization_at_prev_solution', '--scheduler_selective_rescheduling', '--scheduler_reconsideration_period=0.9', '--scheduler_time_discretization=1', '--scheduler_max_time_discretization=5', '--finer_discretization_window=5', '--scheduler_plan_ahead_no_consideration_gap=2', '--drop_skipped_tasks', '--override_num_invocations=0,350,650', '--override_poisson_arrival_rates=0,0.01,0.0165', '--log_dir=/coc/scratch/epinto6/erdos-scheduling-simulator/alibaba_scheduler_runtime-dsched/DSched-noopt/arrival_rate::0.01:0.0165', '--log=arrival_rate::0.01:0.0165.log', '--log_level=debug', '--csv=arrival_rate::0.01:0.0165.csv'], 'arrival_rate': 0.026500000000000003}",DSched-noopt,0.912,6721760.756386861,67.12438730033199,64.06967501173912
arrival_rate::0.0135:0.022,alibaba_scheduler_runtime-dsched/DSched,DSched,"['--worker_profile_path=profiles/workers/alibaba_cluster_final.yaml', '--workload_profile_paths=traces/alibaba-cluster-trace-v2018/easy_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/medium_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/hard_dag_sukrit_10k.pkl', '--workload_profile_path_labels=easy,medium,hard', '--execution_mode=replay', '--replay_trace=alibaba', '--alibaba_loader_task_cpu_usage_random', '--alibaba_loader_task_cpu_multiplier=1', '--alibaba_loader_task_cpu_usage_min=120', '--alibaba_loader_task_cpu_usage_max=1500', '--alibaba_loader_min_critical_path_runtimes=200,500,600', '--alibaba_loader_max_critical_path_runtimes=500,1000,1000', '--override_release_policies=poisson,poisson,poisson', '--randomize_start_time_max=50', '--min_deadline=5', '--max_deadline=500', '--min_deadline_variances=25,50,10', '--max_deadline_variances=50,100,25', '--enforce_deadlines', '--random_seed=420665456', '--scheduler=TetriSched', '--enforce_deadlines', '--release_taskgraphs', '--opt_passes=CRITICAL_PATH_PASS', '--opt_passes=CAPACITY_CONSTRAINT_PURGE_PASS', '--opt_passes=DYNAMIC_DISCRETIZATION_PASS', '--retract_schedules', '--scheduler_max_occupancy_threshold=0.999', '--finer_discretization_at_prev_solution', '--scheduler_selective_rescheduling', '--scheduler_reconsideration_period=0.9', '--scheduler_time_discretization=1', '--scheduler_max_time_discretization=5', '--finer_discretization_window=5', '--scheduler_plan_ahead_no_consideration_gap=2', '--drop_skipped_tasks', '--override_num_invocations=0,350,650', '--override_poisson_arrival_rates=0,0.0135,0.022', '--log_dir=/coc/scratch/epinto6/erdos-scheduling-simulator/alibaba_scheduler_runtime-dsched/DSched/arrival_rate::0.0135:0.022', '--log=arrival_rate::0.0135:0.022.log', '--log_level=debug', '--csv=arrival_rate::0.0135:0.022.csv']",0.0355,,,,,,
,,,,0.0355,"{'label': 'arrival_rate::0.0135:0.022', 'output_dir': PosixPath('alibaba_scheduler_runtime-dsched/DSched-noopt'), 'sched_name': 'DSched-noopt', 'flags': ['--worker_profile_path=profiles/workers/alibaba_cluster_final.yaml', '--workload_profile_paths=traces/alibaba-cluster-trace-v2018/easy_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/medium_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/hard_dag_sukrit_10k.pkl', '--workload_profile_path_labels=easy,medium,hard', '--execution_mode=replay', '--replay_trace=alibaba', '--alibaba_loader_task_cpu_usage_random', '--alibaba_loader_task_cpu_multiplier=1', '--alibaba_loader_task_cpu_usage_min=120', '--alibaba_loader_task_cpu_usage_max=1500', '--alibaba_loader_min_critical_path_runtimes=200,500,600', '--alibaba_loader_max_critical_path_runtimes=500,1000,1000', '--override_release_policies=poisson,poisson,poisson', '--randomize_start_time_max=50', '--min_deadline=5', '--max_deadline=500', '--min_deadline_variances=25,50,10', '--max_deadline_variances=50,100,25', '--enforce_deadlines', '--random_seed=420665456', '--scheduler=TetriSched', '--enforce_deadlines', '--release_taskgraphs', '--retract_schedules', '--scheduler_max_occupancy_threshold=0.999', '--finer_discretization_at_prev_solution', '--scheduler_selective_rescheduling', '--scheduler_reconsideration_period=0.9', '--scheduler_time_discretization=1', '--scheduler_max_time_discretization=5', '--finer_discretization_window=5', '--scheduler_plan_ahead_no_consideration_gap=2', '--drop_skipped_tasks', '--override_num_invocations=0,350,650', '--override_poisson_arrival_rates=0,0.0135,0.022', '--log_dir=/coc/scratch/epinto6/erdos-scheduling-simulator/alibaba_scheduler_runtime-dsched/DSched-noopt/arrival_rate::0.0135:0.022', '--log=arrival_rate::0.0135:0.022.log', '--log_level=debug', '--csv=arrival_rate::0.0135:0.022.csv'], 'arrival_rate': 0.0355}",DSched-noopt,0.727,7695553.57755102,76.7225914421484,66.52201630482169
,,,,0.022,"{'label': 'arrival_rate::0.01:0.012', 'output_dir': PosixPath('alibaba_scheduler_runtime-dsched/DSched'), 'sched_name': 'DSched', 'flags': ['--worker_profile_path=profiles/workers/alibaba_cluster_final.yaml', '--workload_profile_paths=traces/alibaba-cluster-trace-v2018/easy_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/medium_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/hard_dag_sukrit_10k.pkl', '--workload_profile_path_labels=easy,medium,hard', '--execution_mode=replay', '--replay_trace=alibaba', '--alibaba_loader_task_cpu_usage_random', '--alibaba_loader_task_cpu_multiplier=1', '--alibaba_loader_task_cpu_usage_min=120', '--alibaba_loader_task_cpu_usage_max=1500', '--alibaba_loader_min_critical_path_runtimes=200,500,600', '--alibaba_loader_max_critical_path_runtimes=500,1000,1000', '--override_release_policies=poisson,poisson,poisson', '--randomize_start_time_max=50', '--min_deadline=5', '--max_deadline=500', '--min_deadline_variances=25,50,10', '--max_deadline_variances=50,100,25', '--enforce_deadlines', '--random_seed=420665456', '--scheduler=TetriSched', '--enforce_deadlines', '--release_taskgraphs', '--opt_passes=CRITICAL_PATH_PASS', '--opt_passes=CAPACITY_CONSTRAINT_PURGE_PASS', '--opt_passes=DYNAMIC_DISCRETIZATION_PASS', '--retract_schedules', '--scheduler_max_occupancy_threshold=0.999', '--finer_discretization_at_prev_solution', '--scheduler_selective_rescheduling', '--scheduler_reconsideration_period=0.9', '--scheduler_time_discretization=1', '--scheduler_max_time_discretization=5', '--finer_discretization_window=5', '--scheduler_plan_ahead_no_consideration_gap=2', '--drop_skipped_tasks', '--override_num_invocations=0,350,650', '--override_poisson_arrival_rates=0,0.01,0.012', '--log_dir=/coc/scratch/epinto6/erdos-scheduling-simulator/alibaba_scheduler_runtime-dsched/DSched/arrival_rate::0.01:0.012', '--log=arrival_rate::0.01:0.012.log', '--log_level=debug', '--csv=arrival_rate::0.01:0.012.csv'], 'arrival_rate': 0.022}",DSched,0.991,1690607.2784431137,51.61722422507654,51.33300494574177
,,,,0.022,"{'label': 'arrival_rate::0.01:0.012', 'output_dir': PosixPath('alibaba_scheduler_runtime-dsched/DSched-noopt'), 'sched_name': 'DSched-noopt', 'flags': ['--worker_profile_path=profiles/workers/alibaba_cluster_final.yaml', '--workload_profile_paths=traces/alibaba-cluster-trace-v2018/easy_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/medium_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/hard_dag_sukrit_10k.pkl', '--workload_profile_path_labels=easy,medium,hard', '--execution_mode=replay', '--replay_trace=alibaba', '--alibaba_loader_task_cpu_usage_random', '--alibaba_loader_task_cpu_multiplier=1', '--alibaba_loader_task_cpu_usage_min=120', '--alibaba_loader_task_cpu_usage_max=1500', '--alibaba_loader_min_critical_path_runtimes=200,500,600', '--alibaba_loader_max_critical_path_runtimes=500,1000,1000', '--override_release_policies=poisson,poisson,poisson', '--randomize_start_time_max=50', '--min_deadline=5', '--max_deadline=500', '--min_deadline_variances=25,50,10', '--max_deadline_variances=50,100,25', '--enforce_deadlines', '--random_seed=420665456', '--scheduler=TetriSched', '--enforce_deadlines', '--release_taskgraphs', '--retract_schedules', '--scheduler_max_occupancy_threshold=0.999', '--finer_discretization_at_prev_solution', '--scheduler_selective_rescheduling', '--scheduler_reconsideration_period=0.9', '--scheduler_time_discretization=1', '--scheduler_max_time_discretization=5', '--finer_discretization_window=5', '--scheduler_plan_ahead_no_consideration_gap=2', '--drop_skipped_tasks', '--override_num_invocations=0,350,650', '--override_poisson_arrival_rates=0,0.01,0.012', '--log_dir=/coc/scratch/epinto6/erdos-scheduling-simulator/alibaba_scheduler_runtime-dsched/DSched-noopt/arrival_rate::0.01:0.012', '--log=arrival_rate::0.01:0.012.log', '--log_level=debug', '--csv=arrival_rate::0.01:0.012.csv'], 'arrival_rate': 0.022}",DSched-noopt,0.973,6807461.929947461,51.0788163257912,50.41665851464043
arrival_rate::0.012:0.02,alibaba_scheduler_runtime-dsched/DSched,DSched,"['--worker_profile_path=profiles/workers/alibaba_cluster_final.yaml', '--workload_profile_paths=traces/alibaba-cluster-trace-v2018/easy_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/medium_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/hard_dag_sukrit_10k.pkl', '--workload_profile_path_labels=easy,medium,hard', '--execution_mode=replay', '--replay_trace=alibaba', '--alibaba_loader_task_cpu_usage_random', '--alibaba_loader_task_cpu_multiplier=1', '--alibaba_loader_task_cpu_usage_min=120', '--alibaba_loader_task_cpu_usage_max=1500', '--alibaba_loader_min_critical_path_runtimes=200,500,600', '--alibaba_loader_max_critical_path_runtimes=500,1000,1000', '--override_release_policies=poisson,poisson,poisson', '--randomize_start_time_max=50', '--min_deadline=5', '--max_deadline=500', '--min_deadline_variances=25,50,10', '--max_deadline_variances=50,100,25', '--enforce_deadlines', '--random_seed=420665456', '--scheduler=TetriSched', '--enforce_deadlines', '--release_taskgraphs', '--opt_passes=CRITICAL_PATH_PASS', '--opt_passes=CAPACITY_CONSTRAINT_PURGE_PASS', '--opt_passes=DYNAMIC_DISCRETIZATION_PASS', '--retract_schedules', '--scheduler_max_occupancy_threshold=0.999', '--finer_discretization_at_prev_solution', '--scheduler_selective_rescheduling', '--scheduler_reconsideration_period=0.9', '--scheduler_time_discretization=1', '--scheduler_max_time_discretization=5', '--finer_discretization_window=5', '--scheduler_plan_ahead_no_consideration_gap=2', '--drop_skipped_tasks', '--override_num_invocations=0,350,650', '--override_poisson_arrival_rates=0,0.012,0.02', '--log_dir=/coc/scratch/epinto6/erdos-scheduling-simulator/alibaba_scheduler_runtime-dsched/DSched/arrival_rate::0.012:0.02', '--log=arrival_rate::0.012:0.02.log', '--log_level=debug', '--csv=arrival_rate::0.012:0.02.csv']",0.032,,,,,,
,,,,0.032,"{'label': 'arrival_rate::0.012:0.02', 'output_dir': PosixPath('alibaba_scheduler_runtime-dsched/DSched-noopt'), 'sched_name': 'DSched-noopt', 'flags': ['--worker_profile_path=profiles/workers/alibaba_cluster_final.yaml', '--workload_profile_paths=traces/alibaba-cluster-trace-v2018/easy_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/medium_dag_sukrit_10k.pkl,traces/alibaba-cluster-trace-v2018/hard_dag_sukrit_10k.pkl', '--workload_profile_path_labels=easy,medium,hard', '--execution_mode=replay', '--replay_trace=alibaba', '--alibaba_loader_task_cpu_usage_random', '--alibaba_loader_task_cpu_multiplier=1', '--alibaba_loader_task_cpu_usage_min=120', '--alibaba_loader_task_cpu_usage_max=1500', '--alibaba_loader_min_critical_path_runtimes=200,500,600', '--alibaba_loader_max_critical_path_runtimes=500,1000,1000', '--override_release_policies=poisson,poisson,poisson', '--randomize_start_time_max=50', '--min_deadline=5', '--max_deadline=500', '--min_deadline_variances=25,50,10', '--max_deadline_variances=50,100,25', '--enforce_deadlines', '--random_seed=420665456', '--scheduler=TetriSched', '--enforce_deadlines', '--release_taskgraphs', '--retract_schedules', '--scheduler_max_occupancy_threshold=0.999', '--finer_discretization_at_prev_solution', '--scheduler_selective_rescheduling', '--scheduler_reconsideration_period=0.9', '--scheduler_time_discretization=1', '--scheduler_max_time_discretization=5', '--finer_discretization_window=5', '--scheduler_plan_ahead_no_consideration_gap=2', '--drop_skipped_tasks', '--override_num_invocations=0,350,650', '--override_poisson_arrival_rates=0,0.012,0.02', '--log_dir=/coc/scratch/epinto6/erdos-scheduling-simulator/alibaba_scheduler_runtime-dsched/DSched-noopt/arrival_rate::0.012:0.02', '--log=arrival_rate::0.012:0.02.log', '--log_level=debug', '--csv=arrival_rate::0.012:0.02.csv'], 'arrival_rate': 0.032}",DSched-noopt,0.806,7951149.704142012,74.35008010080101,67.38643896438964
